	Unnamed: 0	Code	ROE	PM	ROE_Rank	PM_Rank	Total_Rank
624	0	84650	-2.14	-0.0208506577769274	1749.0	1925.0	3674.0
213	0	67630	-2.57	-0.0194902558267114	1765.0	1911.0	3676.0
1582	0	180060	-12.83	0.0040834269799254	2039.0	1640.0	3679.0
282	0	950210	3.99	-0.1977908093625195	1240.0	2440.0	3680.0
1799	0	46390	-2.17	-0.0227230001146754	1751.0	1937.0	3688.0
1076	0	290670	-10.98	0.000608956878789	2008.0	1684.0	3692.0
2326	0	10400	2.05	-0.0799565230348685	1454.0	2239.0	3693.0
1692	0	254120	-20.85	0.0095085064881888	2158.0	1539.0	3697.0
1541	0	361570	-4.72	-0.0134395382663362	1850.0	1851.0	3701.0
366	0	403550	-12.31	0.000933375785753	2028.0	1680.0	3708.0
2277	0	900110	0.83	-0.0553759195268588	1578.0	2131.0	3709.0
2350	0	2680	-20.94	0.0088325264656841	2161.0	1549.0	3710.0
951	0	100130	-5.94	-0.0097765263280937	1890.0	1822.0	3712.0
428	0	290690	-12.66	0.001299141994661	2035.0	1677.0	3712.0
1156	0	3610	-2.1	-0.0261813788455097	1747.0	1965.0	3712.0
620	0	92040	-15.14	0.0041887163521163	2076.0	1636.0	3712.0
777	0	109070	-7.43	-0.0064349745818504	1930.0	1783.0	3713.0
2267	0	1070	-2.76	-0.0237229163371817	1771.0	1944.0	3715.0
307	0	53030	-4.99	-0.0137625034018046	1863.0	1854.0	3717.0
2016	0	33200	0.08	-0.047436964629382	1636.0	2082.0	3718.0
1879	0	16100	0.54	-0.0524550679646896	1605.0	2116.0	3721.0
1252	0	17900	-0.42	-0.0415970294578061	1665.0	2056.0	3721.0
1126	0	107600	-1.86	-0.0300426237388229	1737.0	1987.0	3724.0
2262	0	187790	-58.88	0.0211606553322702	2395.0	1336.0	3731.0
371	0	36810	-5.61	-0.0142965000116159	1877.0	1858.0	3735.0
1820	0	242040	-7.95	-0.0070907955092573	1944.0	1791.0	3735.0
2166	0	2420	-5.81	-0.0137376507106143	1884.0	1853.0	3737.0
2364	0	139050	0.21	-0.0523278311077939	1624.0	2115.0	3739.0
1854	0	81580	-0.15	-0.0490010963178616	1651.0	2094.0	3745.0
1194	0	207760	-18.16	0.0043291794773787	2117.0	1632.0	3749.0
1004	0	65660	-2.41	-0.0302741484416293	1761.0	1990.0	3751.0
1922	0	70300	-11.61	-0.0013527318690642	2020.0	1733.0	3753.0
955	0	42600	-15.55	0.0012957318850851	2084.0	1678.0	3762.0
1638	0	75180	1.45	-0.0840076048989698	1515.0	2256.0	3771.0
190	0	137310	-2.81	-0.0313865376641307	1776.0	1997.0	3773.0
1983	0	446070	0.45	-0.0613825705388663	1612.0	2161.0	3773.0
1127	0	2990	-7.64	-0.0121362412659777	1936.0	1839.0	3775.0
1335	0	255440	-2.17	-0.036944801729564	1751.0	2025.0	3776.0
1138	0	219130	-4.73	-0.021170351673687	1852.0	1926.0	3778.0
1981	0	5360	-5.84	-0.0180228671787955	1887.0	1892.0	3779.0
1410	0	109820	-3.78	-0.0270790627394804	1811.0	1968.0	3779.0
383	0	8730	-5.96	-0.0175449996750926	1892.0	1888.0	3780.0
1912	0	308170	-17.9	0.0019027989411304	2112.0	1670.0	3782.0
421	0	91120	-4.67	-0.0229124825557148	1846.0	1938.0	3784.0
1276	0	86820	-2.91	-0.0318786469172073	1785.0	1999.0	3784.0
674	0	121800	-2.88	-0.033309709235174	1781.0	2004.0	3785.0
646	0	33790	-8.62	-0.0107545004127423	1958.0	1828.0	3786.0
1436	0	102370	-4.14	-0.0253867689358549	1830.0	1958.0	3788.0
